,CustomerID,CustomerName,Region,Country,PriceCategory,CustomerClass,LeadSource,Discontinued
96,106,C97,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
97,107,C98,Tula,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
98,108,C99,Krasnoyarsk,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
99,109,C100,Ivanovo,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,1
100,110,C101,Yekaterinburgh,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
101,111,C102,Perm,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
102,112,C103,Tolyatti,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
103,114,C104,Saint Petersburg,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
104,116,C105,Pavlovsky Posad,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
105,117,C106,Petrozavodsk,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
106,118,C107,Yekaterinburgh,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
107,119,C108,Moscow,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
108,120,C109,Nizhny Novgorod,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
109,122,C110,Khabarovsk,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
110,123,C111,Neryungri,Russian Federation,2,Large-Scale Wholesaler-2,Referral by the Central Office,0
111,124,C112,Khabarovsk,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
112,126,C113,Kovrov,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
113,127,C114,Minsk,Belarus,4,Small-Scale Wholesaler,Sales Calls or Visits,0
114,128,C115,Petropavlovsk-Kamchatsky,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
115,129,C116,Ivanovo,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
116,130,C117,Orenburg,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
117,131,C118,Volgodonsk,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
118,132,C119,Moscow,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
119,133,C120,Gomel,Belarus,5,Retailer,Advertisement in National Wholesale Magazine,0
120,134,C121,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
121,135,C122,Samara,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
122,136,C123,Yaroslavl,Russian Federation,5,Retailer,Trade Shows,1
123,137,C124,Orenburg,Russian Federation,4,Small-Scale Wholesaler,Trade Shows,1
124,138,C125,Kemerovo,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
125,139,C126,Kostroma,Russian Federation,5,Retailer,Trade Shows,0
126,140,C127,Pyatigorsk,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
127,141,C128,Novokuznetsk,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,1
128,142,C129,Tver,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
129,143,C130,Pavlovsky Posad,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
130,145,C131,Tyumen,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
131,147,C132,Magadan,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
132,148,C133,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
133,149,C134,Kurgan,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
134,151,C135,Sochi,Russian Federation,2,Large-Scale Wholesaler-2,Referral by the Central Office,0
135,152,C136,Cherepovets,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
136,153,C137,Tobolsk,Russian Federation,2,Large-Scale Wholesaler-2,Referral by the Central Office,0
137,155,C138,Krasnoyarsk,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
138,156,C139,Uglich,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
139,157,C140,Khimki,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
140,158,C141,Lyubertsy,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
141,159,C142,Omsk,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
142,160,C143,Syktyvkar,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
143,161,C144,Ramenskoye,Russian Federation,2,Large-Scale Wholesaler-2,Referral by the Central Office,0
144,162,C145,Vladimir,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
145,163,C146,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
146,164,C147,Saint Petersburg,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
147,165,C148,Ryazan,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
148,166,C149,Kostroma,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
149,167,C150,Saint Petersburg,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
150,169,C151,Volgograd,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
151,170,C152,Kostroma,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
152,171,C153,Yuzhno-Sakhalinsk,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
153,172,C154,Zheleznodorozhny,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
154,173,C155,Penza,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
155,174,C156,Zernograd,Russian Federation,5,Small-Scale Wholesaler,Referral by Third Parties,0
156,175,C157,Saint Petersburg,Russian Federation,4,Small-Scale Wholesaler,Referral by the Central Office,0
157,176,C158,Saratov,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
158,177,C159,Shakhovskaya,Russian Federation,5,Small-Scale Wholesaler,,0
159,178,C160,Oryol,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,1
