,ProductID,LeadTime(avg),LeadTime(std),ROP,SecurityStock,X,Y,Stock,ProductName,Category,Gender,ProductLine,Weight,Size,PackSize,ProductType
0,427,1.65,7.41,327.02,298.72,26,32,6303.0,M-ERK61,Briefs,Men's Briefs,Underwear,505,M,Dozen,ERK61
1,861,0.23,1.45,39.14,36.71,31,33,3236.0,XL-K4673,Briefs,Women's Panties,Underwear,557,XL,Dozen,K4673
2,865,0.29,1.69,61.05,56.88,31,37,2182.0,XL-K46S,Briefs,Women's Panties,Underwear,620,XL,Dozen,K46S
3,830,0.32,1.7,55.47,51.5,31,2,2967.0,XL-K29,Briefs,Women's Panties,Underwear,475,XL,Dozen,K29
