,ProductID,Modelo,MAE,MSE,RMSE,MAPE,Predictions
0,2758,EMA,1.8647931814692011,3.477453609654025,1.8647931814692011,37.29586362938402,"[6.864793181469201, 6.864793181469201, 6.864793181469201]"
1,2831,EMA,0.06794106777326192,0.0046159886901709695,0.06794106777326192,0.6794106777326192,"[9.932058932226738, 9.932058932226738, 9.932058932226738, 9.932058932226738]"
2,1845,EMA,0.00015139589465240633,2.2920716917602514e-08,0.00015139589465240633,0.007569794732620316,"[1.9998486041053476, 1.9998486041053476, 1.9998486041053476, 1.9998486041053476, 1.9998486041053476, 1.9998486041053476, 1.9998486041053476, 1.9998486041053476]"
3,2523,EMA,,,,,"[nan, nan, nan, nan, nan]"
4,415,EMA,0.0,0.0,0.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
5,2882,EMA,0.0,0.0,0.0,0.0,"[3.0, 3.0, 3.0]"
6,2678,EMA,0.0,0.0,0.0,0.0,"[2.0, 2.0, 2.0, 2.0]"
7,3416,EMA,0.07716426043971492,0.005954323089208152,0.07716426043971492,2.572142014657164,"[2.922835739560285, 2.922835739560285, 2.922835739560285]"
8,238,EMA,3.6416033265804586,13.8657192326063,3.723670129402751,39.13250236194975,"[5.558396673419542, 5.558396673419542, 5.558396673419542, 5.558396673419542, 5.558396673419542]"
9,3424,EMA,0.04434699250048313,0.001966655743837907,0.04434699250048313,2.2173496250241564,"[1.9556530074995169, 1.9556530074995169, 1.9556530074995169]"
10,886,EMA,0.0,0.0,0.0,0.0,"[5.0, 5.0, 5.0, 5.0, 5.0]"
11,2290,EMA,0.0,0.0,0.0,0.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0]"
12,2766,EMA,0.440638314266959,0.1941621240000273,0.440638314266959,4.40638314266959,"[9.559361685733041, 9.559361685733041, 9.559361685733041]"
13,884,EMA,0.4959923638275088,0.24600842497519984,0.4959923638275088,12.399809095687718,"[3.5040076361724912, 3.5040076361724912, 3.5040076361724912, 3.5040076361724912]"
14,1649,EMA,0.14000456955555052,0.019601279496434983,0.14000456955555052,2.8000913911110104,"[5.1400045695555505, 5.1400045695555505, 5.1400045695555505, 5.1400045695555505, 5.1400045695555505, 5.1400045695555505, 5.1400045695555505, 5.1400045695555505]"
