,ProductID,Modelo,MAE,MSE,RMSE,MAPE,Predictions
160,828,SARIMAX,0.9538273605236973,0.9210259228341082,0.9597009548990291,9.538273605236974,"[10.761974623541327, 11.009269149882346, 11.065604972465511, 11.008081755489432, 10.92420630123987]"
161,828,Prophet,0.714659650465735,0.5182887135378722,0.7199227135865851,7.14659650465735,"[10.591775171917256, 10.653217411191495, 10.714659650465736, 10.776101889739975, 10.837544129014214]"
162,2229,ARIMA,0.04761904761905024,0.015873015873016268,0.12598815766974397,0.6802721088435778,"[5.333333333333334, 5.666666666666668, 6.000000000000002, 6.333333333333336, 6.66666666666667, 7.0000000000000036, 7.3333333333333375]"
163,2229,SARIMAX,0.8026647997883256,0.7858526938884604,0.8864833297295897,12.30008545571336,"[5.160235339648819, 5.28685614644608, 5.286942288199566, 5.457848785813407, 5.588091658671647, 5.723895250757043, 5.877476931945155]"
164,2229,Prophet,1.8256060751059142,3.6068637594341046,1.8991744942037592,28.492104022245044,"[4.340184659576789, 4.380159176587316, 4.420133693597844, 4.460108210608372, 4.500082727618898, 4.540057244629426, 4.580031761639954]"
165,1231,ARIMA,0.48468890712171336,1.0019754467536792,1.0009872360593213,7.367295686332918,"[4.65597431179209, 4.651063213657477, 4.646127247747057, 4.641191388804085, 4.636255529400997, 4.631319669999888, 4.62638381059877, 4.621447951197653, 4.616512091796536]"
166,1231,SARIMAX,1.3414561458465535,2.5666777156193286,1.6020854270666494,25.318241925717444,"[4.74340219458512, 3.7796431621220172, 3.7612897145291546, 3.971905646735654, 3.4407228939788874, 3.3111839188984495, 4.135426779501586, 3.4984976080728907, 2.7014894356239245]"
167,1231,Prophet,1.5629969685858056,3.2308480230985794,1.7974559864148494,29.264834996344675,"[3.565940759350038, 3.545280401440151, 3.5246200435302644, 3.503959685620378, 3.483299327710491, 3.4626389698006035, 3.4419786118907165, 3.42131825398083, 3.4006578960709426]"
168,838,ARIMA,0.10000000000000195,0.027777777777778234,0.16666666666666805,1.4285714285714568,"[6.666666666666668, 6.833333333333335, 7.000000000000002, 7.166666666666669, 7.333333333333336]"
169,838,SARIMAX,0.09999999999999983,0.02777777777777764,0.16666666666666627,1.428571428571426,"[6.666666666666665, 6.833333333333333, 7.0, 7.166666666666665, 7.333333333333333]"
170,838,Prophet,0.10000022222223581,0.027777846913643343,0.1666668740741343,1.4285746240807233,"[6.666666740740753, 6.833333481481494, 7.000000222222236, 7.166666962962977, 7.333333703703717]"
171,2221,ARIMA,1.6719221849671921,3.381135090170434,1.8387863090012482,49.50909528349699,"[1.7744087213272064, 1.6932150763115728, 1.604757130315513, 1.515350122755979, 1.4258191228324595, 1.336271923637029, 1.2467226080498954]"
